doc_id,category,text
1,space,galaxy is to space the rocket nasa for by moon
2,space,shuttle for rocket telescope moon with to is from nasa
3,space,the with to is nasa rocket shuttle astronaut moon in
4,space,on from astronaut with moon for rocket telescope orbit and
5,space,to galaxy in shuttle on telescope moon and mars from
6,space,by telescope galaxy orbit and with the moon to astronaut
7,space,moon shuttle from astronaut the by telescope nasa with to
8,space,rocket to space on astronaut telescope for with galaxy in
9,space,by shuttle space in nasa is moon telescope for to
10,space,orbit space galaxy with the and for nasa shuttle by
11,space,space astronaut on the nasa moon in by and shuttle
12,space,nasa mars by is for shuttle telescope moon with in
13,space,to astronaut on telescope nasa is space for the orbit
14,space,galaxy the orbit for is shuttle from mars on space
15,space,from on telescope for nasa with orbit astronaut in space
16,space,rocket telescope to is for and astronaut shuttle moon from
17,space,moon by in nasa for astronaut and shuttle on telescope
18,space,nasa from the orbit mars rocket for space with is
19,space,moon the by in space is with nasa galaxy shuttle
20,space,with to telescope rocket from on moon shuttle is nasa
21,space,orbit space and the in astronaut on moon mars from
22,space,is in to galaxy space shuttle on moon rocket the
23,space,with on astronaut rocket to the nasa moon is mars
24,space,and mars for in telescope moon from the nasa shuttle
25,space,for orbit from with shuttle telescope the in rocket galaxy
26,space,to and orbit galaxy mars by rocket in the moon
27,space,on with and to telescope nasa rocket in mars shuttle
28,space,on galaxy orbit with astronaut space for the from shuttle
29,space,mars the and shuttle on galaxy is space to rocket
30,space,astronaut orbit space galaxy and the on with rocket in
31,space,the by rocket and galaxy moon is astronaut nasa in
32,space,for nasa astronaut and space moon from by to mars
33,space,is and shuttle mars on in with orbit moon galaxy
34,space,orbit the space and to rocket by galaxy astronaut in
35,space,by from shuttle astronaut telescope with space is orbit the
36,space,by mars astronaut space to the telescope and nasa is
37,space,galaxy shuttle by and is to from moon rocket mars
38,space,telescope for on rocket nasa by from and astronaut orbit
39,space,with is on astronaut rocket galaxy to shuttle space the
40,space,space astronaut shuttle rocket the by and to on mars
41,space,space and the nasa orbit shuttle telescope from by for
42,space,by nasa shuttle space the moon from is astronaut and
43,space,space in galaxy for from with shuttle to orbit nasa
44,space,nasa space orbit moon galaxy and by in to the
45,space,nasa astronaut moon mars to for with the by galaxy
46,space,space galaxy and rocket for astronaut by on moon with
47,space,to and shuttle mars for telescope rocket the galaxy is
48,space,for nasa is in the astronaut from orbit rocket telescope
49,space,mars to nasa shuttle in galaxy orbit and by with
50,space,for rocket mars astronaut by orbit shuttle on from to
51,religion,bible christian is atheism and by god on the church
52,religion,religion bible and faith is from in by atheist church
53,religion,atheist church to for from is spiritual religion god on
54,religion,is the religion and church atheist from spiritual on atheism
55,religion,atheism the bible belief religion christian from with on in
56,religion,religion and faith with atheist atheism for to spiritual by
57,religion,on belief religion with atheist the for faith to church
58,religion,on church religion is god christian by in bible from
59,religion,is in bible atheist spiritual from with christian to faith
60,religion,church with by on christian from is faith belief religion
61,religion,is faith by religion christian and with the belief church
62,religion,in religion is atheism to for god bible spiritual the
63,religion,for religion and from by faith spiritual is belief christian
64,religion,and god atheist the bible from by spiritual in atheism
65,religion,faith atheist for by god from bible with on atheism
66,religion,atheist spiritual in christian on belief religion the with to
67,religion,on the atheist religion christian church in belief with by
68,religion,and for god by belief bible to in faith atheism satan
69,religion,on spiritual church with belief atheism by to and atheist
70,religion,with by bible in to is atheist christian god atheism
71,religion,in by bible church with faith christian and the spiritual
72,religion,and on faith bible christian for belief religion by with
73,religion,church atheist religion by from the to with belief god
74,religion,atheist is the bible christian from god church on for
75,religion,is from on god the faith bible church atheism with
76,religion,atheism and god for spiritual religion on in to belief
77,religion,is faith on bible to from religion god in church
78,religion,and bible in the for belief spiritual church by christian
79,religion,faith church and religion with bible atheist by the to
80,religion,and spiritual by to from for religion belief faith bible
81,religion,atheist for spiritual with atheism god in by faith is
82,religion,and in god bible from for is christian faith church
83,religion,atheism christian the on spiritual belief bible with is and
84,religion,to the by from god atheism on atheist belief church
85,religion,belief is god bible church from for in with religion
86,religion,church for faith on god to with bible from spiritual
87,religion,religion spiritual bible with is in christian atheist the for
88,religion,bible from for god by atheist in christian religion and
89,religion,god is religion to in with bible on spiritual atheism
90,religion,atheism to by god is the religion faith with christian
91,religion,by christian on spiritual church for god the from belief
92,religion,spiritual religion from church belief on in for atheism with
93,religion,atheist god religion is with church in to bible on
94,religion,and by in from on spiritual christian bible god faith
95,religion,god faith to spiritual the for belief christian is on
96,religion,from spiritual faith atheist in the belief on is church
97,religion,bible in atheism with religion atheist on to faith for
98,religion,spiritual from with christian and on is church bible belief
99,religion,bible and god in with on atheism church faith the
100,religion,and religion in the spiritual atheism belief on from church
101,graphics,model pixel rendering by image computer with in for is
102,graphics,image animation model on with is pixel computer by from
103,graphics,model for is in from computer rendering texture gpu with
104,graphics,model for graphics pixel with texture rendering to by and
105,graphics,animation for to pixel the from graphics with 3d image
106,graphics,texture and gpu to from is 3d computer on image
107,graphics,on texture model gpu the from graphics and for animation
108,graphics,model pixel to with the animation for is computer 3d
109,graphics,texture pixel by in graphics rendering from is with gpu
110,graphics,3d computer gpu image from graphics and the to by
111,graphics,and in 3d graphics pixel model to computer with from
112,graphics,for texture rendering and pixel in with image by gpu
113,graphics,on computer by texture in and to graphics gpu 3d
114,graphics,on texture animation from image with for pixel gpu the
115,graphics,rendering by is on 3d animation in gpu and pixel
116,graphics,with pixel image model to on gpu graphics in by
117,graphics,and from on animation to 3d computer gpu with graphics
118,graphics,image computer pixel gpu in from is on and animation
119,graphics,model to 3d with computer gpu by on animation the
120,graphics,gpu pixel by on from graphics texture model the and
121,graphics,gpu by pixel with for model to texture and graphics
122,graphics,graphics texture 3d to image with pixel on for from
123,graphics,rendering and from for image texture graphics computer to in
124,graphics,the gpu texture is from graphics animation on for computer
125,graphics,animation texture 3d for and with image the pixel in
126,graphics,rendering graphics on by image texture 3d in for the
127,graphics,3d from gpu by for model texture to is graphics
128,graphics,in and model computer by pixel the graphics rendering for
129,graphics,and with rendering image model gpu texture by in for
130,graphics,the for graphics by model gpu with image to texture
131,graphics,by is in animation texture pixel from graphics the computer
132,graphics,pixel from gpu graphics animation 3d by with the to
133,graphics,texture model graphics from and pixel with is for gpu
134,graphics,is graphics image in and computer for 3d on pixel
135,graphics,animation with pixel the and on model for rendering 3d
136,graphics,is the texture model to by computer animation on rendering
137,graphics,image rendering in to 3d with and on texture animation
138,graphics,rendering animation image in pixel for on and graphics by
139,graphics,model rendering the animation gpu with is and computer in
140,graphics,to from and pixel graphics animation 3d the image for
141,graphics,and model to gpu in with image is texture graphics
142,graphics,pixel is for in rendering animation image the 3d by
143,graphics,from the by in computer gpu 3d on texture rendering
144,graphics,gpu from by model with computer 3d pixel for on
145,graphics,model graphics texture gpu pixel is the and in by
146,graphics,animation and with image texture from to computer the 3d
147,graphics,to animation gpu in for and by image pixel 3d
148,graphics,computer gpu pixel from with the graphics by texture to
149,graphics,3d with the in to pixel computer for model animation
150,graphics,texture to rendering from pixel computer and image is for
151,baseball,hitter baseball run for strike catcher from by to on
152,baseball,score catcher by to from run home team is for
153,baseball,and catcher the score home run with inning for from
154,baseball,pitcher home for from with the catcher team by strike
155,baseball,team hitter for from baseball is on inning the pitcher
156,baseball,with catcher on strike the and home from team run
157,baseball,for to is in pitcher catcher home with inning run
158,baseball,on catcher in and home baseball the pitcher to inning
159,baseball,score catcher inning team run on with in the by
160,baseball,run catcher by to is pitcher and on home inning
161,baseball,with in hitter to catcher by the inning baseball score
162,baseball,the run inning to pitcher baseball on hitter from with
163,baseball,from in team run and hitter pitcher by catcher on
164,baseball,hitter inning home the catcher on by baseball with and
165,baseball,with pitcher catcher is inning for home score in the
166,baseball,is pitcher and hitter on for catcher strike from home
167,baseball,from and is pitcher in catcher run home strike on
168,baseball,inning with catcher is run in home pitcher the and
169,baseball,score for baseball with from home the by strike team
170,baseball,strike hitter to baseball in with by run home from
171,baseball,on catcher team strike from by hitter home the with
172,baseball,in team home the is with hitter baseball catcher for
173,baseball,strike is inning to the pitcher for in baseball hitter
174,baseball,with home strike catcher in by team from inning the
175,baseball,home run for catcher pitcher by the in from baseball
176,baseball,hitter run pitcher and for in from baseball team by
177,baseball,the to catcher on with by home pitcher score baseball
178,baseball,to pitcher catcher from team on score hitter by with
179,baseball,by strike the inning to for hitter from catcher team
180,baseball,strike run score team is the on home in and
181,baseball,team is with in for home strike baseball inning and
182,baseball,in on hitter for inning strike baseball score by and
183,baseball,in to by with is pitcher catcher team baseball score
184,baseball,home in is inning from score the to hitter pitcher
185,baseball,by baseball on from pitcher catcher to team in hitter
186,baseball,hitter from inning by baseball team with pitcher in for
187,baseball,home in on baseball pitcher score and catcher the to
188,baseball,pitcher score from for inning team with is by baseball
189,baseball,and for strike run in with pitcher inning by catcher
190,baseball,home pitcher for baseball with hitter is run on to
191,baseball,catcher strike run by pitcher hitter on the from in
192,baseball,the on home score hitter catcher in and to pitcher
193,baseball,to inning run home and from team the score for
194,baseball,from run team inning score and by the pitcher in
195,baseball,team to run with inning and score for strike on
196,baseball,strike and inning home by score team the in on
197,baseball,pitcher by strike from is with inning for catcher team
198,baseball,is baseball inning in catcher home run from the on
199,baseball,with and run hitter in catcher to home inning on
200,baseball,the catcher score strike by and team in baseball with
